"Points:0","Points:1","Points:2","U:0","U:1","U:2"
6.6085,2.0199,0.061146,-0.0027651,-0.0029016,0.01176
6.6009,2.0143,0.18564,0.0023452,-0.0024065,0.020223
6.7252,2.0351,0.052697,-0.032025,0.0055413,0.013561
6.5653,2.1137,0.059492,-0.012117,-0.0031187,0.016095
6.5999,2.0149,0.31589,0.0043785,-0.0023135,0.039668
6.7182,2.029,0.17312,-0.015038,0.0040792,0.016846
6.557,2.0994,0.18453,-0.0085501,-0.0054391,0.023177
6.8539,2.0418,0.051832,-0.059696,-0.0067762,0.016989
6.7023,2.1354,0.047153,-0.012245,0.0040358,0.011635
6.5611,2.2655,0.056446,-0.011415,-0.024731,0.016257
6.5994,2.0152,0.45022,0.0048113,-0.0016636,0.048577
6.717,2.031,0.30996,-0.0084862,0.0028629,0.037224
6.5577,2.0959,0.31703,-0.0066804,-0.0042448,0.042756
6.8529,2.0391,0.17104,-0.040613,-0.0049798,0.022342
6.6918,2.1241,0.16666,-0.0089959,0.0036416,0.02074
6.5529,2.25,0.18031,-0.008288,-0.021395,0.023065
6.9874,2.0434,0.051904,-0.061603,-0.016241,0.018708
6.8441,2.1446,0.047142,-0.015786,-0.0042302,0.011239
6.6947,2.2678,0.04863,-0.014545,-0.017411,0.014306
6.5601,2.4012,0.055238,-0.0080835,-0.031547,0.016379
6.5993,2.0153,0.58471,0.0049766,-0.00099989,0.054904
6.7165,2.0318,0.44756,-0.0055462,0.0026296,0.046612
6.5581,2.0948,0.45113,-0.0048177,-0.0025687,0.052846
6.8527,2.0427,0.30795,-0.031275,0.00032935,0.038206
6.6923,2.1242,0.30913,-0.0073251,0.0014049,0.03808
6.554,2.2428,0.31547,-0.0062248,-0.018424,0.046465
6.9891,2.0424,0.171,-0.038111,-0.0081475,0.029924
6.8419,2.1408,0.1651,-0.016103,-0.00025383,0.019915
6.6832,2.2594,0.16857,-0.00986,-0.014356,0.025263
6.5522,2.3932,0.17811,-0.0074034,-0.027034,0.026011
7.1223,2.0426,0.052363,-0.055596,-0.021875,0.018491
6.9831,2.147,0.047617,-0.022725,-0.028132,0.011976
6.8386,2.2713,0.04993,-0.031439,-0.028788,0.012114
6.6923,2.4023,0.048971,-0.022255,-0.020971,0.015414
6.5598,2.5358,0.054824,-0.015849,-0.040782,0.017831
