"Points:0","Points:1","Points:2","U:0","U:1","U:2"
7.9945,12.862,0.1657,-0.0070146,0.13065,0.062952
7.9844,12.633,0.14548,0.0046895,0.2289,0.04517
7.9849,12.835,0.32825,-0.010801,0.1021,0.077703
7.8601,12.878,0.095539,-0.02178,0.12675,0.015976
7.979,12.448,0.14314,0.012566,0.26094,0.029846
7.8581,12.654,0.080672,-0.036308,0.13654,0.002788
7.9684,12.653,0.31364,-0.017303,0.16511,0.057756
7.9796,12.838,0.51021,-0.011928,0.058305,0.072211
7.8552,12.905,0.29328,-0.015235,0.056261,0.093108
7.6268,12.889,0.0499,-0.10079,0.079589,0.0030885
7.9781,12.261,0.14288,0.018319,0.28739,0.024821
7.8585,12.456,0.081995,-0.025648,0.23433,-0.014081
7.9573,12.456,0.31063,-0.019505,0.20346,0.054174
7.6235,12.673,0.06674,-0.079902,0.033029,-0.0017555
7.8315,12.692,0.27362,-0.048791,0.079409,0.024027
7.9575,12.657,0.50484,-0.028601,0.13418,0.019586
7.978,12.838,0.69776,-0.012692,0.043185,0.069065
7.8492,12.909,0.49531,-0.0068295,0.034052,0.089188
7.6154,12.913,0.23278,-0.065091,0.035347,0.049893
7.3521,12.763,0.078674,-0.070402,0.024364,0.015903
7.3565,12.895,0.055463,-0.070402,0.024364,0.015903
7.2789,12.813,0.055964,-0.070402,0.024364,0.015903
7.3478,12.81,0.011302,-0.070402,0.024364,0.015903
7.4185,12.891,0.011302,-0.070402,0.024364,0.015903
7.4971,12.891,0.011302,-0.070402,0.024364,0.015903
7.4928,12.855,0.027223,-0.070402,0.024364,0.015903
7.9778,12.074,0.14251,0.030466,0.28609,0.024998
7.8615,12.265,0.082852,-0.010343,0.28888,-0.016159
7.9547,12.264,0.31013,-0.012776,0.2454,0.066
7.6361,12.469,0.076629,-0.14743,0.10757,-0.019003
7.8205,12.471,0.27473,-0.042156,0.15218,-0.0018181
7.942,12.459,0.50298,-0.033967,0.17417,0.0018881
7.3788,12.665,0.086301,-0.082911,-0.032023,0.023222
7.6062,12.704,0.25331,-0.086316,0.0056912,0.013798
7.8137,12.7,0.48911,-0.053718,0.069133,0.011078
7.954,12.658,0.69585,-0.030352,0.1025,0.021078
7.9776,12.838,0.88627,-0.0062238,-0.0021504,0.06704
7.8467,12.909,0.69209,0.0082845,0.020201,0.11545
7.6087,12.917,0.47548,-0.067673,0.021553,0.074622
7.374,12.897,0.22743,-0.065259,0.021528,0.019078
7.9769,11.888,0.14163,0.039866,0.23255,0.021283
7.8633,12.075,0.08306,0.015381,0.31772,-0.016617
7.954,12.075,0.30966,-0.0056083,0.26547,0.074292
7.6484,12.273,0.077602,-0.092865,0.11315,-0.019732
7.8198,12.27,0.27509,-0.026983,0.2059,-0.0088189
7.9376,12.266,0.50245,-0.024862,0.21314,0.010231
7.4051,12.482,0.092255,-0.12553,0.031109,-0.0010427
7.6186,12.479,0.26574,-0.11371,0.044037,-0.023247
7.7937,12.477,0.48841,-0.065267,0.13146,-0.025184
7.9368,12.46,0.69496,-0.039586,0.14533,-0.015462
7.3682,12.692,0.28337,-0.079751,-0.12706,0.064593
7.5957,12.71,0.48038,-0.087142,0.019354,7.4795e-05
7.807,12.701,0.69014,-0.047254,0.063578,0.025289
7.9532,12.658,0.88558,-0.019002,0.033622,-0.0032137
7.9775,12.838,1.0744,0.0037965,-0.054527,0.077988
7.8459,12.909,0.8842,0.021601,0.0090747,0.13452
7.6059,12.917,0.68549,-0.060072,0.015135,0.093165
7.3692,12.901,0.49024,-0.05712,0.0042545,0.08497
7.9702,11.63,0.13824,0.0023026,0.15796,0.031544
7.97,11.715,0.0833,0.0023026,0.15796,0.031544
7.9581,11.719,0.19072,0.0023026,0.15796,0.031544
7.9929,11.678,0.060394,0.0023026,0.15796,0.031544
7.9933,11.727,0.1228,0.0023026,0.15796,0.031544
7.9932,11.685,0.18499,0.0023026,0.15796,0.031544
7.9755,11.772,0.14078,0.0023026,0.15796,0.031544
7.863,11.887,0.082898,0.054441,0.32905,-0.013599
7.9521,11.89,0.30884,0.0018606,0.26127,0.070252
7.6553,12.08,0.077857,-0.054061,0.1189,-0.025094
7.8202,12.078,0.27474,-0.00068643,0.24625,-0.0078501
7.936,12.076,0.5021,-0.013836,0.23732,0.02388
7.4368,12.281,0.078828,-0.021215,-0.031084,-0.017935
7.629,12.278,0.26398,-0.078822,0.053306,-0.027824
7.7881,12.274,0.48718,-0.055084,0.17622,-0.030646
7.9314,12.266,0.69459,-0.030362,0.18463,-0.0029868
7.2139,12.496,0.10165,-0.018876,-0.7874,-0.0038848
7.3974,12.487,0.28916,-0.06308,-0.080294,0.0038256
7.6015,12.483,0.48293,-0.12019,0.051196,-0.039805
7.7828,12.478,0.68924,-0.068333,0.12372,-0.03371
7.9354,12.46,0.88518,-0.035953,0.091854,-0.04413
7.3645,12.697,0.49522,-0.096262,-0.068834,0.026096
7.591,12.71,0.68696,-0.087555,0.026419,0.014383
7.8049,12.701,0.88342,-0.030346,0.030833,0.02236
7.9529,12.658,1.0742,-0.0055416,-0.02829,0.042417
7.9775,12.838,1.2623,0.0014967,-0.07343,0.056182
7.8456,12.909,1.0737,0.012717,-0.0021517,0.12337
7.6049,12.917,0.88205,-0.045233,0.0097111,0.10078
7.3677,12.902,0.69154,-0.049626,-0.0028399,0.10685
7.9765,11.523,0.11945,-0.065641,0.1163,-0.017003
7.8594,11.7,0.082548,0.11792,0.31629,-0.0026931
7.9467,11.707,0.30821,-0.018121,0.22732,0.044647
7.6572,11.889,0.077913,-0.011182,0.11211,-0.032742
7.8179,11.889,0.27412,0.038731,0.26341,-0.001198
7.9334,11.89,0.50184,-0.0045583,0.23653,0.033275
7.4484,12.085,0.077211,-0.023617,-0.097962,-0.023077
7.6349,12.083,0.26209,-0.036809,0.059963,-0.033413
7.7862,12.08,0.48594,-0.030182,0.20975,-0.025
7.9293,12.076,0.69433,-0.020218,0.21124,0.015441
7.2413,12.291,0.079263,0.024992,-0.77269,-0.0075669
7.4275,12.285,0.26586,-0.043307,-0.11272,-0.021151
7.6062,12.282,0.47774,-0.089928,0.05646,-0.052672
7.7742,12.275,0.6879,-0.062796,0.17123,-0.040263
7.9295,12.266,0.88494,-0.042934,0.14458,-0.041838
7.0511,12.502,0.093205,0.0019041,-0.9945,0.0005564
7.2057,12.5,0.30282,0.017734,-0.82914,-0.0047949
7.3909,12.487,0.49382,-0.095819,-0.063887,-0.019194
7.5928,12.484,0.68643,-0.12996,0.063678,-0.046642
7.7791,12.479,0.88271,-0.06549,0.099598,-0.048472
7.935,12.46,1.074,-0.017759,-0.013385,-0.033292
7.363,12.697,0.69304,-0.096898,-0.063098,0.049306
7.5891,12.71,0.88228,-0.069662,0.010509,0.017935
7.8042,12.701,1.0733,-0.0074633,-0.022422,0.032502
7.9529,12.658,1.2622,-0.002615,-0.091574,0.021889
7.9775,12.838,1.45,-0.00014848,-0.076121,0.00030968
7.8455,12.909,1.262,-0.006534,-0.01665,0.08069
7.6045,12.917,1.073,-0.030047,-0.0024017,0.088144
7.3672,12.902,0.88434,-0.038711,-0.0094717,0.12229
7.9774,11.335,0.094541,-0.085843,0.10581,-0.019363
7.8523,11.512,0.082069,0.14419,0.26235,0.00071155
7.9372,11.523,0.30994,-0.096172,0.18227,0.015131
7.6555,11.701,0.077893,0.059044,0.07232,-0.03748
7.8101,11.701,0.27331,0.071486,0.25315,0.0096146
7.9268,11.707,0.50201,-0.0075201,0.21599,0.034552
7.4523,11.892,0.07691,0.014165,-0.23739,-0.023841
7.6359,11.892,0.26091,0.0086886,0.028569,-0.038272
7.7821,11.89,0.48493,0.010368,0.22581,-0.014348
7.9264,11.89,0.69414,-0.014793,0.21535,0.024633
7.25,12.091,0.076891,0.060573,-0.78495,-0.0099125
7.4387,12.09,0.25845,-0.019109,-0.18134,-0.034094
7.609,12.087,0.47326,-0.058004,0.050219,-0.052147
7.7705,12.081,0.68658,-0.038392,0.20189,-0.03032
7.9272,12.076,0.88475,-0.038723,0.1785,-0.0069753
7.057,12.301,0.077139,0.013963,-1.0041,0.0011911
7.2352,12.299,0.26761,0.04181,-0.79481,-0.014891
7.4159,12.287,0.47823,-0.055738,-0.11542,-0.043497
7.5929,12.283,0.68227,-0.099343,0.073212,-0.061204
7.769,12.275,0.88172,-0.070135,0.15981,-0.057084
7.9289,12.266,1.0739,-0.038268,0.084491,-0.059694
6.8693,12.506,0.090089,0.0039415,-0.99849,0.00020744
7.0412,12.513,0.29003,0.0046198,-0.99355,-0.00034947
7.2024,12.499,0.4997,0.021736,-0.83954,-0.01668
7.3873,12.486,0.69074,-0.1283,-0.045771,-0.022692
7.5891,12.485,0.88128,-0.12639,0.05878,-0.056118
7.7778,12.479,1.0729,-0.055593,0.041949,-0.044471
7.9348,12.46,1.2621,-0.010274,-0.079816,-0.013256
7.3624,12.697,0.88471,-0.085393,-0.072578,0.070469
7.5884,12.71,1.0729,-0.039398,-0.033319,0.016188
7.804,12.701,1.2619,-0.01322,-0.057745,0.023189
7.9529,12.658,1.45,-0.0039474,-0.11247,0.00024174
7.9775,12.838,1.6377,0.0015614,-0.072494,-0.054679
7.8455,12.909,1.45,-0.0073246,-0.013059,-0.00032821
7.6044,12.917,1.2619,-0.020478,-0.02166,0.051396
