"Points:0","Points:1","Points:2","U:0","U:1","U:2"
0.15139,0.024073,0.064525,-0.29831,0.024757,0.092728
0.089251,0.037704,0.048586,-0.29831,0.024757,0.092728
0.080793,0.013277,0.1139,-0.29831,0.024757,0.092728
0.046367,0.0054929,0.084388,-0.29831,0.024757,0.092728
0.095768,0.005396,0.046205,-0.29831,0.024757,0.092728
0.13883,0.0054018,0.077012,-0.29831,0.024757,0.092728
0.11562,0.026649,0.013517,-0.29831,0.024757,0.092728
0.22518,0.038355,0.053651,-0.6118,-0.025939,0.084346
0.065789,0.12321,0.059771,-0.24201,0.065708,0.058631
0.07757,0.01218,0.18951,-0.22935,0.053294,0.087007
0.35618,0.045608,0.05267,-0.74407,-0.067525,0.080262
0.20405,0.14577,0.047556,-0.23967,0.22779,0.016692
0.20645,0.031609,0.17541,-0.5466,0.058075,0.082421
0.062065,0.283,0.056686,-0.1803,0.42458,0.034346
0.054238,0.10886,0.18522,-0.12246,0.14751,0.070953
0.061953,0.024548,0.31944,-0.11435,0.087921,-0.022701
0.49067,0.047845,0.052579,-0.83491,-0.09217,0.076902
0.34724,0.15554,0.047518,-0.46387,0.11955,-0.0020798
0.34808,0.041456,0.17277,-0.68992,0.018146,0.090793
0.19731,0.28393,0.048796,-0.13382,0.38796,-0.015349
0.18736,0.13396,0.16774,-0.31313,0.22278,0.011461
0.19709,0.036565,0.31221,-0.48618,0.11648,0.070437
0.061109,0.4206,0.055426,-0.13466,0.57306,0.015758
0.052619,0.26832,0.18085,-0.10404,0.49889,0.022787
0.05259,0.12267,0.31788,-0.16764,0.11745,0.013094
0.06049,0.040488,0.45202,-0.35481,0.12438,0.045569
0.62503,0.04853,0.052568,-0.87777,-0.12062,0.075455
0.4869,0.15916,0.047879,-0.52184,0.066317,-0.017192
0.48726,0.044527,0.1722,-0.79292,-0.011695,0.10125
0.34243,0.28724,0.050058,-0.29825,0.19323,-0.022009
0.33976,0.14948,0.16603,-0.46556,0.15225,0.0086358
0.34243,0.045227,0.30946,-0.67398,0.067304,0.069012
0.1951,0.42094,0.049064,-0.063797,0.47989,-0.019614
0.18298,0.2762,0.16905,-0.19353,0.39959,-0.018276
0.18282,0.13969,0.31036,-0.31655,0.24948,0.038857
0.19403,0.041785,0.44893,-0.43358,0.12981,0.048652
0.060801,0.55575,0.054984,-0.09809,0.63525,0.010142
0.05247,0.41388,0.17856,-0.080491,0.63013,-0.0063932
0.052813,0.26941,0.31602,-0.1627,0.47787,-0.0023617
0.052176,0.14508,0.45182,-0.26118,0.23012,0.056852
0.060165,0.046116,0.58547,-0.2145,0.15488,0.1072
0.75849,0.04875,0.052562,-0.88508,-0.15669,0.082926
0.62345,0.16049,0.047996,-0.5564,-0.0010917,-0.022982
0.6236,0.045371,0.17208,-0.84361,-0.042953,0.1142
0.48426,0.28927,0.050789,-0.32213,0.08489,-0.034065
0.48337,0.15513,0.16594,-0.54239,0.091529,-0.0049936
0.4844,0.04829,0.30857,-0.79046,0.033175,0.082163
0.34032,0.42201,0.05107,-0.17609,0.28573,-0.022297
0.3349,0.28421,0.16916,-0.31481,0.23531,-0.018073
0.3347,0.15455,0.30729,-0.4986,0.17961,0.00090987
0.33971,0.047673,0.4473,-0.6697,0.083683,0.036084
0.19431,0.55585,0.049055,0.012554,0.53499,-0.015949
0.18161,0.41681,0.16912,-0.10437,0.50049,-0.017662
0.18042,0.27644,0.31029,-0.20435,0.43067,0.0046997
0.18098,0.14861,0.44855,-0.29944,0.24665,0.038241
0.19309,0.044237,0.58422,-0.41302,0.1333,0.0074183
0.060692,0.68917,0.05483,-0.071941,0.67322,0.011008
0.052382,0.55286,0.17762,-0.05327,0.69193,-0.013594
0.053165,0.41306,0.31445,-0.12386,0.63958,-0.01551
0.052984,0.27836,0.45103,-0.18669,0.52748,0.044042
0.052125,0.15519,0.58548,-0.1925,0.26496,0.085123
0.060102,0.048244,0.71874,-0.099558,0.15205,0.054975
0.89138,0.048823,0.05256,-0.84118,-0.20404,0.09717
0.75785,0.16097,0.048016,-0.54597,-0.057619,-0.023151
0.75791,0.045609,0.17205,-0.84652,-0.077399,0.13735
0.6222,0.29029,0.051008,-0.33059,-0.0093609,-0.042978
0.62157,0.15699,0.16595,-0.56938,0.0234,-0.013558
0.6223,0.049189,0.30833,-0.84914,0.0019265,0.094849
0.48293,0.42293,0.052022,-0.17035,0.16876,-0.027683
0.47994,0.28821,0.16961,-0.35233,0.11213,-0.034274
0.47995,0.16073,0.30624,-0.57045,0.12674,-0.013203
0.48276,0.050156,0.44665,-0.78006,0.048731,0.045116
0.33948,0.55619,0.051341,-0.096959,0.33463,-0.016142
0.33249,0.42012,0.17055,-0.19147,0.30468,-0.022331
0.3296,0.28548,0.30775,-0.34652,0.26992,-0.030302
0.33191,0.15904,0.4463,-0.51043,0.1887,0.0019779
0.33864,0.048801,0.58344,-0.63528,0.078972,0.0065929
0.19403,0.68918,0.049015,0.034504,0.546,-0.01249
0.18101,0.55377,0.16893,-0.031087,0.55149,-0.012366
0.17947,0.41568,0.30985,-0.12534,0.51696,-0.010574
0.17916,0.2817,0.44825,-0.19707,0.4246,0.011224
0.18028,0.15393,0.584,-0.29038,0.25058,0.0114
0.19283,0.045281,0.71827,-0.38761,0.13281,0.018359
0.060653,0.82172,0.054781,-0.054476,0.6906,0.013791
0.05232,0.68802,0.17727,-0.029726,0.72352,-0.0092285
0.053208,0.55215,0.31367,-0.087567,0.70388,-0.014777
0.053483,0.41654,0.45028,-0.13418,0.66434,0.032357
0.052998,0.2853,0.5852,-0.14935,0.52724,0.068217
0.052105,0.15967,0.71874,-0.12822,0.24707,0.069569
0.060098,0.049056,0.8518,-0.23369,0.12343,0.016223
1.024,0.048847,0.052559,-0.70448,-0.26622,0.11394
0.89113,0.16115,0.048017,-0.49458,-0.16714,-0.012113
0.89115,0.045681,0.17204,-0.80756,-0.12334,0.17877
0.7573,0.29075,0.051052,-0.30821,-0.096797,-0.048308
0.75683,0.15761,0.16594,-0.55911,-0.02543,-0.013782
