"Points:0","Points:1","Points:2","U:0","U:1","U:2"
0.15142,0.024068,0.064532,-0.28629,0.027496,0.089292
0.089282,0.037699,0.048593,-0.28629,0.027496,0.089292
0.080823,0.013273,0.11391,-0.28629,0.027496,0.089292
0.046372,0.0054926,0.084388,-0.28629,0.027496,0.089292
0.095773,0.0053956,0.046206,-0.28629,0.027496,0.089292
0.13884,0.0054015,0.077012,-0.28629,0.027496,0.089292
0.11563,0.026649,0.013518,-0.28629,0.027496,0.089292
0.22517,0.038354,0.053653,-0.60428,-0.021678,0.080797
0.065908,0.12324,0.059725,-0.24139,0.066541,0.05575
0.077598,0.012176,0.18953,-0.22216,0.055239,0.085305
0.35615,0.045609,0.052667,-0.73812,-0.063575,0.07706
0.20406,0.1458,0.047482,-0.24763,0.22596,0.016112
0.20643,0.031605,0.17542,-0.54228,0.062934,0.078456
0.062217,0.28303,0.056618,-0.18199,0.42512,0.032678
0.054327,0.10888,0.18525,-0.12102,0.1442,0.075679
0.061977,0.024545,0.31945,-0.10726,0.087526,-0.011117
0.49067,0.047845,0.052578,-0.83188,-0.087194,0.073976
0.34711,0.15554,0.047485,-0.47162,0.12331,-0.00075417
0.34803,0.041457,0.17277,-0.68717,0.02421,0.085929
0.19732,0.28397,0.048681,-0.14508,0.38985,-0.013045
0.18728,0.13398,0.16775,-0.32199,0.22254,0.011217
0.19706,0.036562,0.31223,-0.48614,0.12041,0.064274
0.061207,0.42061,0.055396,-0.13818,0.57622,0.015542
0.052709,0.26835,0.18089,-0.10954,0.49474,0.03245
0.052562,0.12267,0.31797,-0.1679,0.11769,0.022024
0.060519,0.040488,0.45203,-0.34622,0.12564,0.044541
0.62502,0.04853,0.052568,-0.87747,-0.11439,0.07253
0.48687,0.15916,0.047873,-0.53558,0.0722,-0.017009
0.48724,0.044526,0.1722,-0.79375,-0.0056036,0.095874
0.34225,0.28724,0.050003,-0.31241,0.20201,-0.021819
0.33954,0.14948,0.16601,-0.47604,0.15656,0.0088352
0.34237,0.045226,0.30947,-0.67412,0.072673,0.059205
0.19509,0.42095,0.04899,-0.078002,0.48263,-0.016695
0.18287,0.27622,0.16906,-0.20495,0.40515,-0.012436
0.18269,0.13968,0.31047,-0.3276,0.2485,0.038934
0.19402,0.041782,0.44894,-0.43908,0.12929,0.045235
0.060938,0.55575,0.054948,-0.10218,0.64074,0.011202
0.052522,0.41389,0.17861,-0.086607,0.63122,0.0051106
0.052731,0.2694,0.31615,-0.16769,0.47644,0.0096995
0.052185,0.14508,0.45184,-0.24686,0.24782,0.073285
0.060195,0.046117,0.58547,-0.20706,0.15159,0.10758
0.75848,0.04875,0.052562,-0.88628,-0.14854,0.079443
0.62345,0.16049,0.047995,-0.57331,0.0027999,-0.024767
0.6236,0.045371,0.17208,-0.84713,-0.036472,0.1087
0.48421,0.28927,0.050778,-0.34113,0.093933,-0.035068
0.4833,0.15513,0.16594,-0.5561,0.097893,-0.0053393
0.48438,0.048289,0.30858,-0.79234,0.038918,0.071326
0.34019,0.42201,0.051016,-0.195,0.29558,-0.021892
0.33463,0.2842,0.16912,-0.32855,0.24457,-0.014848
0.33456,0.15455,0.30732,-0.50702,0.18285,-0.00028486
0.33966,0.047669,0.4473,-0.66907,0.08422,0.022741
0.19432,0.55586,0.048949,-0.0054914,0.53868,-0.012123
0.1815,0.41681,0.16914,-0.11847,0.50657,-0.0099233
0.18023,0.27643,0.31045,-0.21497,0.43408,0.0096002
0.18092,0.14861,0.44857,-0.31143,0.24405,0.039924
0.19309,0.044233,0.58423,-0.4112,0.13082,0.0080801
0.060875,0.68917,0.054783,-0.075995,0.6799,0.013717
0.052447,0.55286,0.1777,-0.060266,0.69619,-0.00021399
0.053102,0.41305,0.31456,-0.12832,0.64076,-0.00043509
0.052953,0.27837,0.45105,-0.17768,0.53579,0.062616
0.052142,0.1552,0.58548,-0.18304,0.2723,0.094952
0.060134,0.048246,0.71874,-0.098337,0.15006,0.056855
0.89138,0.048823,0.05256,-0.84593,-0.19279,0.093083
0.75785,0.16097,0.048016,-0.5629,-0.052964,-0.025567
0.75791,0.045609,0.17205,-0.85166,-0.070059,0.13048
0.62219,0.29029,0.051006,-0.34826,-0.0035496,-0.044557
0.62155,0.15698,0.16595,-0.58386,0.031999,-0.015461
0.62229,0.049189,0.30833,-0.85302,0.0087027,0.083243
0.48289,0.42293,0.05201,-0.19362,0.1776,-0.028397
0.47985,0.28821,0.1696,-0.36803,0.12163,-0.033029
0.47989,0.16073,0.30624,-0.58152,0.13079,-0.015866
0.48275,0.050154,0.44665,-0.78094,0.049855,0.028806
0.33931,0.5562,0.051256,-0.12026,0.34248,-0.015371
0.33227,0.42012,0.17051,-0.20616,0.31393,-0.016859
0.32944,0.28547,0.30779,-0.35569,0.27642,-0.027224
0.33181,0.15904,0.44632,-0.51166,0.18896,-0.00061944
0.3386,0.048795,0.58344,-0.62999,0.076592,-0.00084205
0.19405,0.68919,0.048872,0.019183,0.55049,-0.0079764
0.18088,0.55377,0.16896,-0.041812,0.56129,-0.0023437
0.17931,0.41567,0.30999,-0.13528,0.52094,-0.002714
0.17907,0.2817,0.44829,-0.20594,0.42311,0.018008
0.18024,0.15393,0.58401,-0.29021,0.24765,0.015803
0.19283,0.045276,0.71827,-0.38553,0.13001,0.019567
0.06084,0.82172,0.054735,-0.058178,0.69694,0.015927
0.052403,0.68802,0.17738,-0.035949,0.7279,0.0039873
0.053114,0.55214,0.31382,-0.091341,0.70798,0.00051847
0.053458,0.41654,0.45031,-0.12879,0.66772,0.052648
0.052978,0.28531,0.58521,-0.14215,0.52859,0.083236
0.052124,0.15968,0.71874,-0.12496,0.24481,0.072605
0.060129,0.049059,0.8518,-0.23757,0.12067,0.018545
1.024,0.048847,0.052559,-0.71883,-0.25065,0.10917
0.89113,0.16115,0.048017,-0.51031,-0.15824,-0.015119
0.89115,0.045681,0.17204,-0.81521,-0.11338,0.16969
0.7573,0.29075,0.051052,-0.32407,-0.090867,-0.050939
0.75682,0.15761,0.16594,-0.5733,-0.018949,-0.016103
0.75735,0.049447,0.30828,-0.85857,-0.021055,0.098529
0.62149,0.42351,0.052302,-0.19258,0.069828,-0.034126
0.61943,0.28992,0.16978,-0.37572,0.011724,-0.050893
0.61948,0.16288,0.30591,-0.60428,0.077437,-0.026637
0.62147,0.050963,0.44644,-0.84114,0.021437,0.037487
0.4823,0.55656,0.052373,-0.094957,0.1969,-0.017605
0.4778,0.42221,0.17142,-0.20944,0.16286,-0.031732
0.47544,0.29055,0.30676,-0.38692,0.15296,-0.042534
0.47763,0.16423,0.44524,-0.57728,0.13528,-0.014756
0.48201,0.050878,0.58309,-0.74843,0.03977,-0.0024683
