"Points:0","Points:1","Points:2","U:0","U:1","U:2"
8.266,5.4067,0.24164,0,0,0
8.5495,5.4196,0.20934,0,0,0
8.301,5.4195,0.4671,0,0,0
8.246,5.5846,0.1537,0,0,0
8.7901,5.4273,0.20568,0,0,0
8.5224,5.5806,0.12032,0,0,0
8.5286,5.4405,0.44356,0,0,0
8.297,5.427,0.70931,0,0,0
8.2165,5.5799,0.43955,0,0,0
8.2283,5.8908,0.13399,0,0,0
9.0371,5.429,0.2054,0,0,0
8.7806,5.5822,0.11636,0,0,0
8.7823,5.4551,0.43857,0,0,0
8.4957,5.8693,0.10814,0,0,0
8.4811,5.6076,0.39314,0,0,0
8.5235,5.4548,0.70031,0,0,0
8.2967,5.4286,0.9562,0,0,0
8.2127,5.5805,0.69917,0,0,0
8.2058,5.8681,0.40913,0,0,0
8.2236,6.1504,0.1273,0,0,0
9.285,5.4293,0.20554,0,0,0
9.0339,5.5817,0.11593,0,0,0
9.0343,5.4591,0.4379,0,0,0
8.7675,5.8607,0.10542,0,0,0
8.7642,5.627,0.38362,0,0,0
8.7791,5.4742,0.69689,0,0,0
8.4865,6.1388,0.10469,0,0,0
8.461,5.8685,0.37036,0,0,0
8.4729,5.6261,0.6812,0,0,0
8.5228,5.4588,0.95289,0,0,0
8.2967,5.429,1.2034,0,0,0
8.2126,5.58,0.95218,0,0,0
8.2035,5.8582,0.68322,0,0,0
8.203,6.1379,0.3964,0,0,0
8.222,6.4037,0.12486,0,0,0
9.5324,5.4293,0.20564,0,0,0
9.2838,5.5812,0.11591,0,0,0
9.284,5.46,0.438,0,0,0
9.0282,5.8568,0.10502,0,0,0
9.0273,5.6331,0.38122,0,0,0
9.0326,5.4806,0.69607,0,0,0
8.7604,6.1316,0.10293,0,0,0
8.7493,5.8733,0.35951,0,0,0
8.7567,5.6586,0.67239,0,0,0
8.7782,5.4805,0.95118,0,0,0
8.483,6.3981,0.10334,0,0,0
8.4533,6.1347,0.36076,0,0,0
8.4522,5.8722,0.66435,0,0,0
8.4712,5.6319,0.94527,0,0,0
8.5228,5.4597,1.2023,0,0,0
8.2968,5.429,1.45,0,0,0
