"Points:0","Points:1","Points:2","U:0","U:1","U:2"
5.4653,0.18982,0.1167,3.7387e-06,4.0488e-06,-6.8292e-07
5.4756,0.1739,0.33474,2.9812e-07,2.2113e-06,7.3742e-06
5.3084,0.11444,0.11275,3.2575e-06,1.9931e-06,-2.9338e-07
5.4394,0.38033,0.096736,7.8688e-07,1.2534e-05,-2.2652e-08
5.4757,0.17042,0.53934,1.7205e-06,2.4321e-06,1.5843e-07
5.3351,0.096162,0.3311,-5.1781e-07,2.7925e-07,-1.0351e-06
5.452,0.36487,0.30493,3.9084e-07,3.4658e-06,5.9226e-07
5.0641,0.10427,0.10268,5.6985e-06,9.8461e-07,-7.1804e-07
5.2727,0.34062,0.08418,1.9721e-06,3.8392e-07,-5.0593e-07
5.4281,0.57485,0.093364,8.2866e-07,9.3088e-06,2.3368e-07
5.4756,0.16926,0.74501,2.0164e-07,7.3251e-07,4.4906e-06
5.3429,0.094595,0.54033,2.0888e-06,1.2426e-06,-2.8761e-07
5.4508,0.36055,0.525,2.6082e-07,9.8927e-06,-2.7064e-07
5.0934,0.085971,0.31637,3.3604e-06,1.1309e-06,-3.0773e-07
5.2964,0.31596,0.28842,1.3023e-06,1.4943e-06,-2.9286e-07
5.4367,0.57042,0.29794,6.1048e-07,4.0895e-06,1.0029e-06
4.8567,0.10156,0.098741,4.9706e-06,7.8746e-07,-3.0401e-07
5.0623,0.32347,0.083029,4.2527e-06,2.2716e-07,-2.4874e-07
5.2573,0.55806,0.08015,-4.8233e-07,4.7554e-06,-2.7026e-07
5.4245,0.77325,0.092823,1.7942e-07,9.9168e-06,3.6402e-07
5.4756,0.16885,0.94851,1.7067e-06,2.1913e-06,1.7644e-07
5.3456,0.094311,0.74604,-5.0697e-07,3.7993e-07,-2.0861e-07
5.4503,0.35889,0.73861,5.9438e-07,3.2018e-06,-5.5752e-08
5.1073,0.084681,0.53375,4.6484e-06,8.5487e-07,-2.1119e-07
5.3008,0.31133,0.51976,2.1778e-06,1.2839e-06,-3.6738e-07
5.4335,0.56794,0.51912,6.7379e-07,7.2262e-06,-7.9787e-10
4.872,0.08385,0.3092,4.2024e-06,1.22e-06,-2.1528e-07
5.0805,0.29617,0.28488,4.2149e-06,1.7152e-06,-2.4371e-08
5.2715,0.54943,0.27826,9.7695e-07,4.2466e-06,-4.356e-07
5.4316,0.77204,0.29629,1.0066e-06,5.8972e-06,2.6859e-07
4.653,0.10072,0.097377,6.4759e-06,9.4312e-07,8.9694e-08
4.8557,0.31772,0.082159,4.584e-06,6.0136e-07,-2.0671e-08
5.0567,0.54725,0.080555,3.9138e-06,3.1953e-06,-1.6e-07
5.2514,0.76616,0.079749,-4.5374e-07,5.2959e-06,-1.9224e-07
5.4233,0.97164,0.09272,3.5336e-07,9.362e-06,1.8233e-07
5.4756,0.1687,1.1499,2.6638e-07,6.3387e-07,4.585e-06
5.3465,0.09418,0.94895,2.1215e-06,1.2753e-06,-5.8371e-08
5.4502,0.35826,0.94586,1.319e-07,9.4048e-06,-8.5109e-08
5.1128,0.084508,0.7434,3.1876e-06,1.2027e-06,-1.3481e-07
5.3023,0.30959,0.73656,1.4976e-06,1.6727e-06,-4.0203e-07
5.4321,0.56667,0.7352,6.9828e-07,3.9858e-06,7.465e-07
4.8817,0.082583,0.52884,4.9223e-06,8.9721e-07,-1.6255e-09
5.0918,0.28919,0.51572,4.6441e-06,8.9435e-07,-9.1835e-08
5.2705,0.54446,0.5093,1.2381e-07,4.434e-06,-3.4124e-07
5.4274,0.77092,0.51712,2.2307e-07,8.3976e-06,-2.0256e-07
4.6602,0.083206,0.30637,6.2319e-06,1.1467e-06,-1.4981e-07
4.8667,0.28952,0.28202,4.9861e-06,1.3387e-06,-4.7286e-08
5.0662,0.53381,0.27548,4.2817e-06,4.2523e-06,-6.0868e-08
5.2619,0.76277,0.27572,1.4792e-06,6.1966e-06,-3.6179e-08
5.4301,0.9712,0.29587,1.2239e-06,7.9104e-06,-8.4783e-08
4.4522,0.10043,0.096935,7.2975e-06,7.6322e-07,1.0959e-07
4.6526,0.31565,0.081643,6.2679e-06,6.6751e-07,1.6271e-07
4.8536,0.54227,0.080959,4.2294e-06,3.2132e-06,-2.5552e-08
5.0533,0.76053,0.080437,3.7681e-06,5.2148e-06,-3.4997e-08
5.2492,0.96873,0.079665,3.6476e-07,8.3168e-06,-2.2363e-07
5.4229,1.1691,0.092683,9.5665e-07,1.0686e-05,-2.5695e-07
5.4757,0.16866,1.3501,1.6703e-06,2.1085e-06,2.7442e-07
5.3468,0.094098,1.15,-4.1921e-07,4.6539e-07,-7.6081e-08
5.4502,0.35803,1.1489,5.7017e-07,3.3232e-06,-2.3208e-08
5.1148,0.084386,0.94799,4.3094e-06,9.146e-07,-3.7291e-08
5.303,0.30884,0.94457,2.0781e-06,1.3544e-06,-1.873e-07
5.4318,0.56613,0.9442,-5.2717e-09,5.3518e-06,-1.3705e-08
4.8862,0.082242,0.74102,4.0067e-06,1.1597e-06,-1.4047e-07
5.0967,0.28623,0.73385,4.1106e-06,1.8131e-06,-1.5082e-07
5.2699,0.54169,0.7297,1.1265e-06,4.266e-06,-3.9203e-07
5.4256,0.77019,0.73378,1.197e-06,5.9566e-06,2.5962e-07
4.6655,0.081878,0.52647,6.5197e-06,9.3107e-07,1.152e-07
4.8762,0.28064,0.51216,5.2599e-06,1.0078e-06,3.1578e-08
5.072,0.5239,0.50305,4.3497e-06,3.8378e-06,-7.0338e-08
5.2577,0.75964,0.50506,8.7615e-07,6.2225e-06,-2.5636e-07
5.4256,0.97068,0.51651,7.7391e-07,8.8636e-06,-2.8132e-07
4.4552,0.082937,0.30536,7.223e-06,8.6538e-07,-1.2763e-07
4.6586,0.28705,0.28042,6.5306e-06,1.1935e-06,2.9792e-09
4.86,0.52569,0.27404,5.1823e-06,3.9011e-06,-1.0567e-07
5.0588,0.75343,0.27232,4.8392e-06,6.0252e-06,1.3455e-07
5.2585,0.96688,0.27494,1.8682e-06,8.6201e-06,-2.1835e-07
5.4297,1.1688,0.29574,1.5013e-06,1.0291e-05,-2.9773e-07
4.2529,0.10032,0.096801,8.0392e-06,5.9691e-07,1.1512e-07
4.4521,0.31492,0.081399,7.1761e-06,5.9516e-07,9.8822e-08
4.6518,0.54017,0.080944,6.5419e-06,3.0397e-06,1.8074e-07
4.8519,0.75758,0.081018,4.8389e-06,4.5948e-06,7.7567e-08
5.0516,0.96616,0.080351,4.4808e-06,7.7603e-06,8.5377e-08
5.2484,1.1679,0.079609,1.1055e-06,1.0752e-05,-1.4454e-07
5.4228,1.3659,0.092665,1.3586e-06,1.2947e-05,-4.8892e-07
5.4757,0.16866,1.5499,-3.3857e-07,1.084e-06,6.1946e-06
5.3469,0.094062,1.3501,2.0405e-06,1.3003e-06,-1.1598e-08
5.4502,0.35796,1.3498,-5.0648e-08,8.9995e-06,4.5738e-11
5.1154,0.08428,1.1497,3.0641e-06,1.2146e-06,-2.8596e-07
5.3033,0.3085,1.1481,1.467e-06,1.7129e-06,-3.0609e-07
5.4317,0.56592,1.1482,6.4115e-07,3.8229e-06,5.0439e-07
4.888,0.082003,0.94704,4.7806e-06,9.2627e-07,1.0095e-08
5.0986,0.28494,0.94288,4.3491e-06,9.7021e-07,-7.4289e-08
5.2699,0.54036,0.94074,-3.0158e-08,3.9798e-06,-1.8411e-07
5.425,0.76983,0.9434,7.4979e-07,7.3124e-06,-1.3086e-07
4.6681,0.08138,0.73968,6.0734e-06,1.1141e-06,-6.1922e-08
4.8813,0.27625,0.73129,4.9519e-06,1.3853e-06,-1.3886e-07
5.0751,0.51808,0.72437,4.1788e-06,4.2711e-06,-1.3004e-07
5.2555,0.75736,0.72614,1.8631e-06,6.3772e-06,-3.3864e-08
5.4235,0.97028,0.73327,1.342e-06,7.8273e-06,-7.7235e-08
4.4576,0.081553,0.5255,7.458e-06,7.4789e-07,1.3118e-07
4.6645,0.27735,0.51007,6.8072e-06,9.7637e-07,9.0475e-08
4.8668,0.51144,0.49894,5.0998e-06,3.5192e-06,-3.9004e-08
5.0605,0.74628,0.49648,4.4905e-06,6.0338e-06,8.3257e-09
5.253,0.96485,0.50347,1.665e-06,8.98e-06,-2.8398e-07
5.425,1.1686,0.51631,1.3604e-06,1.0756e-05,-4.0819e-07
4.254,0.082824,0.30503,8.1236e-06,6.8751e-07,-1.0458e-07
4.455,0.28606,0.27966,7.484e-06,9.6045e-07,-1.138e-08
4.6559,0.5221,0.27311,7.05e-06,3.5071e-06,-3.2797e-08
4.8557,0.74754,0.27059,5.9315e-06,5.2913e-06,-3.827e-08
5.0554,0.96182,0.27109,5.4951e-06,8.2016e-06,7.9294e-08
5.2573,1.1668,0.27462,2.3974e-06,1.1227e-05,-2.9527e-07
5.4295,1.3657,0.29569,1.8454e-06,1.2943e-05,-4.9259e-07
4.0543,0.10028,0.096764,8.604e-06,4.4939e-07,1.0152e-07
4.2529,0.31466,0.081299,8.0186e-06,4.4845e-07,5.8118e-08
4.4518,0.53937,0.080846,7.6262e-06,2.5743e-06,3.8223e-08
4.6511,0.75619,0.081068,7.1554e-06,4.0892e-06,1.5788e-07
4.8509,0.96467,0.080923,5.7358e-06,6.8627e-06,1.4476e-07
5.0508,1.1668,0.080259,5.3669e-06,9.9878e-06,2.4881e-07
5.248,1.3654,0.079577,1.6156e-06,1.3562e-05,-1.6803e-07
5.4227,1.5624,0.092656,1.7321e-06,1.5997e-05,-6.729e-07
5.4756,0.1687,1.7501,-3.592e-07,1.1543e-06,-6.1176e-06
5.3469,0.094062,1.5499,-1.0971e-06,2.5123e-07,-4.4867e-07
5.4502,0.35796,1.5502,3.6156e-07,3.2755e-06,1.0612e-07
5.1156,0.084229,1.35,4.0833e-06,1.0209e-06,2.8955e-08
5.3034,0.30836,1.3496,1.9822e-06,1.4771e-06,3.5846e-09
5.4318,0.56584,1.3496,-2.3798e-07,4.2203e-06,-1.2712e-07
4.8886,0.081831,1.1493,3.9433e-06,1.1447e-06,-1.8607e-07
5.0994,0.28431,1.1472,3.9555e-06,1.7927e-06,-1.9365e-07
5.27,0.53974,1.1463,1.0704e-06,4.2172e-06,-1.7544e-07
5.4249,0.76966,1.1478,1.2228e-06,5.8724e-06,2.3129e-07
4.6692,0.081033,0.94644,6.3528e-06,9.5212e-07,5.7361e-08
4.8834,0.27423,0.94134,5.1211e-06,1.0515e-06,-3.9732e-08
5.0764,0.51523,0.93702,3.9839e-06,3.8699e-06,-6.7788e-08
5.2549,0.75603,0.93843,1.3413e-06,6.3857e-06,-1.3067e-07
5.4229,0.97004,0.94306,1.095e-06,8.2909e-06,-1.9551e-07
4.4589,0.080967,0.73908,7.1533e-06,8.3784e-07,-3.6439e-08
4.6681,0.27208,0.7296,6.5807e-06,1.2321e-06,-7.6027e-08
4.8712,0.50221,0.72034,5.1626e-06,3.8098e-06,-1.7712e-07
5.0614,0.74091,0.71818,4.8025e-06,6.1342e-06,1.3956e-08
5.25,0.96321,0.72451,2.2344e-06,8.739e-06,-1.5479e-07
5.4228,1.1683,0.73308,1.6082e-06,1.0148e-05,-2.8557e-07
4.255,0.0814,0.52515,8.2963e-06,6.0789e-07,1.2277e-07
4.4582,0.27589,0.50904,7.7679e-06,8.5326e-07,9.1032e-08
4.661,0.50559,0.49665,7.1721e-06,3.2321e-06,2.8911e-08
4.8594,0.73611,0.49064,5.7383e-06,5.1375e-06,-1.9506e-08
5.0551,0.95691,0.49362,5.245e-06,8.4473e-06,1.4132e-08
5.2512,1.1654,0.50282,2.4091e-06,1.1583e-05,-3.0497e-07
5.4248,1.3656,0.51624,1.7677e-06,1.3241e-05,-5.4691e-07
4.0547,0.082775,0.30493,8.8022e-06,5.2311e-07,-8.0987e-08
4.2542,0.28563,0.27935,8.389e-06,7.4208e-07,-8.1394e-09
4.4542,0.52052,0.27253,8.1405e-06,2.9314e-06,-4.4778e-08
4.6538,0.74442,0.26956,7.7858e-06,4.613e-06,-8.7325e-09
4.8533,0.95816,0.26901,6.7528e-06,7.3359e-06,-6.9915e-08
5.0539,1.1641,0.27051,6.4006e-06,1.0554e-05,3.3687e-08
5.2568,1.3647,0.27447,2.9759e-06,1.4258e-05,-4.2244e-07
5.4295,1.5624,0.29567,2.2498e-06,1.6146e-05,-7.1589e-07
3.8559,0.10027,0.096755,8.9835e-06,2.9906e-07,5.4284e-08
4.0543,0.31456,0.081262,8.6219e-06,2.9926e-07,-8.3443e-09
4.2528,0.53907,0.080779,8.5834e-06,2.0486e-06,-3.8105e-08
4.4515,0.75559,0.080985,8.3374e-06,3.33e-06,-5.451e-08
4.6505,0.96388,0.080954,8.1089e-06,5.9064e-06,9.7809e-08
4.8503,1.1661,0.080797,6.8866e-06,8.8602e-06,2.5659e-07
5.0504,1.365,0.0802,6.5034e-06,1.2513e-05,3.508e-07
5.2479,1.5623,0.07956,2.1439e-06,1.6954e-05,-1.9121e-07
5.4227,1.7589,0.092652,2.174e-06,1.9912e-05,-8.6786e-07
5.4756,0.16885,1.9515,1.6574e-06,2.1762e-06,-2.6488e-07
5.3468,0.094098,1.75,-1.2005e-06,2.1852e-07,5.7617e-07
5.4502,0.35803,1.7511,3.6562e-07,3.1851e-06,4.9364e-09
5.1156,0.084229,1.55,2.9698e-06,1.1696e-06,-8.3613e-07
5.3034,0.30836,1.5504,1.1971e-06,1.5667e-06,-1.443e-07
5.4318,0.56584,1.5504,4.5101e-07,3.738e-06,9.7793e-07
4.8888,0.08175,1.3499,4.5913e-06,9.5742e-07,8.1008e-08
5.0996,0.28405,1.3493,4.1232e-06,1.1812e-06,-1.518e-08
5.2701,0.53949,1.349,3.0371e-07,4.0183e-06,-7.6911e-08
5.4249,0.76959,1.3495,1.0338e-06,6.7394e-06,-9.2085e-08
4.6697,0.080799,1.1491,6.0192e-06,1.0978e-06,-1.2262e-07
4.8843,0.27323,1.1464,4.8626e-06,1.3525e-06,-1.5632e-07
5.077,0.51387,1.1441,3.9865e-06,4.2135e-06,-5.0297e-08
5.2548,0.75534,1.145,1.8801e-06,6.3854e-06,-5.1964e-08
5.4227,0.96991,1.1476,1.3744e-06,7.7275e-06,1.0196e-08
4.4595,0.080547,0.94615,7.3498e-06,7.7107e-07,6.8471e-08
4.6698,0.26947,0.94026,6.6839e-06,1.0284e-06,2.6104e-10
4.8733,0.49744,0.93412,4.9964e-06,3.5338e-06,-7.1898e-08
5.0619,0.7377,0.93271,4.582e-06,6.0769e-06,-4.1403e-08
5.249,0.96213,0.93721,1.9722e-06,8.7555e-06,-1.5717e-07
5.4221,1.1682,0.94292,1.5279e-06,1.0361e-05,-2.7097e-07
4.2556,0.08076,0.73884,8.0904e-06,6.5704e-07,-2.2557e-08
4.4603,0.27013,0.72868,7.6086e-06,9.8979e-07,-5.3257e-08
4.6647,0.49403,0.7178,7.0559e-06,3.4017e-06,-1.0281e-07
4.8621,0.7268,0.71179,5.9728e-06,5.2837e-06,-9.9272e-08
