Points:0,Points:1,Points:2,U:0,U:1,U:2
5.4653,0.18982,0.1167,1.86935e-06,2.0244e-06,-3.4146e-07
5.4756,0.1739,0.33474,1.4906e-07,1.10565e-06,3.6871e-06
5.3084,0.11444,0.11275,1.62875e-06,9.9655e-07,-1.4669e-07
5.4394,0.38033,0.096736,3.9344e-07,6.267e-06,-1.1326e-08
5.4757,0.17042,0.53934,8.6025e-07,1.21605e-06,7.9215e-08
5.3351,0.096162,0.3311,-2.58905e-07,1.39625e-07,-5.1755e-07
5.452,0.36487,0.30493,1.9542e-07,1.7329e-06,2.9613e-07
5.0641,0.10427,0.10268,2.84925e-06,4.92305e-07,-3.5902e-07
5.2727,0.34062,0.08418,9.8605e-07,1.9196e-07,-2.52965e-07
5.4281,0.57485,0.093364,4.1433e-07,4.6544e-06,1.1684e-07
5.4756,0.16926,0.74501,1.0082e-07,3.66255e-07,2.2453e-06
5.3429,0.094595,0.54033,1.0444e-06,6.213e-07,-1.43805e-07
5.4508,0.36055,0.525,1.3041e-07,4.94635e-06,-1.3532e-07
5.0934,0.085971,0.31637,1.6802e-06,5.6545e-07,-1.53865e-07
5.2964,0.31596,0.28842,6.5115e-07,7.4715e-07,-1.4643e-07
5.4367,0.57042,0.29794,3.0524e-07,2.04475e-06,5.0145e-07
4.8567,0.10156,0.098741,2.4853e-06,3.9373e-07,-1.52005e-07
5.0623,0.32347,0.083029,2.12635e-06,1.1358e-07,-1.2437e-07
5.2573,0.55806,0.08015,-2.41165e-07,2.3777e-06,-1.3513e-07
5.4245,0.77325,0.092823,8.971e-08,4.9584e-06,1.8201e-07
5.4756,0.16885,0.94851,8.5335e-07,1.09565e-06,8.822e-08
5.3456,0.094311,0.74604,-2.53485e-07,1.89965e-07,-1.04305e-07
5.4503,0.35889,0.73861,2.9719e-07,1.6009e-06,-2.7876e-08
5.1073,0.084681,0.53375,2.3242e-06,4.27435e-07,-1.05595e-07
5.3008,0.31133,0.51976,1.0889e-06,6.4195e-07,-1.8369e-07
5.4335,0.56794,0.51912,3.36895e-07,3.6131e-06,-3.98935e-10
4.872,0.08385,0.3092,2.1012e-06,6.1e-07,-1.0764e-07
