"Points:0","Points:1","Points:2","U:0","U:1","U:2"
3.8344,9.8098,0.11663,0,0,0
3.8243,9.8257,0.3346,0,0,0
3.8601,9.6193,0.096613,0,0,0
3.9904,9.8852,0.11273,0,0,0
3.8243,9.8292,0.53924,0,0,0
3.8478,9.6348,0.30471,0,0,0
3.9641,9.9034,0.33105,0,0,0
3.8714,9.4248,0.093233,0,0,0
4.026,9.659,0.08413,0,0,0
4.2337,9.8953,0.10268,0,0,0
3.8244,9.8304,0.74496,0,0,0
3.849,9.6391,0.52484,0,0,0
3.9565,9.905,0.54029,0,0,0
3.8631,9.4292,0.2977,0,0,0
4.0026,9.6836,0.28831,0,0,0
4.2049,9.9136,0.31635,0,0,0
3.875,9.2264,0.092688,0,0,0
4.0413,9.4416,0.080094,0,0,0
4.2356,9.6761,0.083015,0,0,0
4.4408,9.8981,0.098754,0,0,0
3.8243,9.8308,0.94849,0,0,0
3.8497,9.6408,0.73852,0,0,0
3.9539,9.9053,0.74601,0,0,0
3.8664,9.4317,0.51893,0,0,0
3.9985,9.6883,0.51966,0,0,0
4.1912,9.9149,0.53373,0,0,0
3.8681,9.2276,0.29603,0,0,0
4.0276,9.4502,0.27813,0,0,0
4.2178,9.7034,0.28484,0,0,0
4.4258,9.9158,0.3092,0,0,0
3.8762,9.028,0.092584,0,0,0
4.0471,9.2334,0.07969,0,0,0
4.2413,9.4524,0.080536,0,0,0
4.4419,9.6819,0.082163,0,0,0
4.6444,9.8989,0.097391,0,0,0
3.8243,9.8309,1.1498,0,0,0
3.8498,9.6414,0.94582,0,0,0
3.953,9.9054,0.94894,0,0,0
3.8678,9.433,0.73509,0,0,0
3.9971,9.69,0.7365,0,0,0
4.1858,9.9151,0.74339,0,0,0
3.8724,9.2287,0.51692,0,0,0
4.0289,9.4552,0.50917,0,0,0
4.2069,9.7104,0.51568,0,0,0
4.4162,9.917,0.52882,0,0,0
3.8696,9.0284,0.29562,0,0,0
4.0372,9.2369,0.27558,0,0,0
4.2322,9.4658,0.27542,0,0,0
4.4312,9.7101,0.282,0,0,0
4.6373,9.9164,0.30637,0,0,0
3.8765,8.8305,0.092547,0,0,0
4.0494,9.0309,0.079605,0,0,0
4.2446,9.2391,0.080418,0,0,0
4.4441,9.4573,0.080944,0,0,0
4.6448,9.6839,0.081649,0,0,0
4.8452,9.8992,0.096936,0,0,0
3.8243,9.831,1.3501,0,0,0
3.8497,9.6416,1.1489,0,0,0
3.9527,9.9055,1.15,0,0,0
3.8681,9.4336,0.94415,0,0,0
3.9965,9.6908,0.94453,0,0,0
4.1839,9.9152,0.94799,0,0,0
3.8744,9.2295,0.73367,0,0,0
4.0296,9.458,0.72961,0,0,0
4.2021,9.7134,0.73382,0,0,0
4.4118,9.9174,0.74101,0,0,0
3.8743,9.029,0.51631,0,0,0
4.0417,9.24,0.50492,0,0,0
4.2267,9.4757,0.50298,0,0,0
4.4219,9.719,0.51213,0,0,0
4.6322,9.9178,0.52645,0,0,0
3.8701,8.8308,0.29548,0,0,0
4.0406,9.0327,0.27479,0,0,0
4.2396,9.2462,0.27227,0,0,0
4.4379,9.4738,0.27401,0,0,0
4.639,9.7125,0.28041,0,0,0
4.8422,9.9167,0.30536,0,0,0
3.8767,8.6337,0.092528,0,0,0
4.0502,8.8317,0.079549,0,0,0
4.2464,9.0334,0.080331,0,0,0
4.4457,9.242,0.08101,0,0,0
4.6457,9.4594,0.080933,0,0,0
4.8453,9.6847,0.081399,0,0,0
5.0445,9.8993,0.096801,0,0,0
3.8243,9.831,1.5499,0,0,0
3.8497,9.6417,1.3498,0,0,0
3.9526,9.9055,1.3501,0,0,0
3.8682,9.4338,1.1482,0,0,0
3.9962,9.6911,1.1481,0,0,0
4.1833,9.9153,1.1497,0,0,0
3.8749,9.2298,0.94334,0,0,0
4.0297,9.4593,0.94069,0,0,0
4.2002,9.7147,0.94286,0,0,0
4.4101,9.9176,0.94703,0,0,0
3.8764,9.0294,0.73315,0,0,0
4.0441,9.2423,0.72604,0,0,0
4.2239,9.4815,0.72431,0,0,0
4.4169,9.7234,0.73127,0,0,0
4.6296,9.9182,0.73967,0,0,0
3.8749,8.8311,0.51611,0,0,0
4.0465,9.0348,0.50332,0,0,0
4.2383,9.2533,0.4964,0,0,0
4.4314,9.4881,0.4989,0,0,0
4.6332,9.7223,0.51005,0,0,0
4.8398,9.918,0.5255,0,0,0
3.8702,8.6339,0.29543,0,0,0
4.0418,8.8328,0.27447,0,0,0
4.243,9.0378,0.27104,0,0,0
4.4422,9.252,0.27056,0,0,0
4.6417,9.4774,0.27309,0,0,0
4.8424,9.7135,0.27966,0,0,0
5.0433,9.9168,0.30503,0,0,0
3.8767,8.4372,0.092517,0,0,0
4.0505,8.6342,0.079517,0,0,0
4.2472,8.8328,0.080239,0,0,0
4.4468,9.0349,0.080916,0,0,0
4.6464,9.2434,0.081064,0,0,0
4.8456,9.4602,0.080844,0,0,0
5.0444,9.6849,0.081299,0,0,0
5.243,9.8993,0.096764,0,0,0
3.8243,9.8309,1.7502,0,0,0
3.8497,9.6417,1.5502,0,0,0
3.9526,9.9055,1.5499,0,0,0
3.8682,9.4339,1.3496,0,0,0
3.9961,9.6913,1.3496,0,0,0
4.1831,9.9154,1.35,0,0,0
3.875,9.23,1.1478,0,0,0
4.0296,9.4599,1.1462,0,0,0
4.1995,9.7153,1.1472,0,0,0
4.4095,9.9178,1.1493,0,0,0
3.8771,9.0296,0.943,0,0,0
4.0447,9.2436,0.93837,0,0,0
4.2226,9.4844,0.93698,0,0,0
4.4148,9.7254,0.94133,0,0,0
4.6285,9.9186,0.94644,0,0,0
3.8771,8.8313,0.73296,0,0,0
4.0496,9.0364,0.72441,0,0,0
4.2376,9.2587,0.71812,0,0,0
4.4272,9.4974,0.72031,0,0,0
4.6297,9.7275,0.72959,0,0,0
4.8386,9.9186,0.73907,0,0,0
3.8751,8.634,0.51603,0,0,0
4.0482,8.8342,0.50268,0,0,0
4.2437,9.0427,0.49354,0,0,0
4.4389,9.2635,0.4906,0,0,0
4.6368,9.494,0.49663,0,0,0
4.8393,9.7237,0.50903,0,0,0
5.0424,9.9182,0.52515,0,0,0
3.8702,8.4372,0.2954,0,0,0
4.0422,8.6349,0.27433,0,0,0
4.2445,8.8355,0.27045,0,0,0
4.4446,9.0414,0.26898,0,0,0
4.6439,9.2552,0.26955,0,0,0
4.8433,9.4791,0.27252,0,0,0
5.0431,9.714,0.27935,0,0,0
5.2427,9.9168,0.30493,0,0,0
3.8767,8.2407,0.092508,0,0,0
4.0506,8.4373,0.079499,0,0,0
4.2475,8.6346,0.08018,0,0,0
4.4473,8.8335,0.080791,0,0,0
4.6469,9.0357,0.080951,0,0,0
4.8459,9.244,0.080984,0,0,0
5.0445,9.4605,0.080779,0,0,0
5.243,9.685,0.081262,0,0,0
5.4414,9.8993,0.096755,0,0,0
3.8243,9.8308,1.9515,0,0,0
3.8497,9.6416,1.7511,0,0,0
3.9527,9.9055,1.75,0,0,0
3.8682,9.4339,1.5504,0,0,0
3.9961,9.6913,1.5504,0,0,0
4.1831,9.9154,1.55,0,0,0
3.875,9.2301,1.3495,0,0,0
4.0295,9.4602,1.349,0,0,0
4.1993,9.7156,1.3493,0,0,0
