"Points:0","Points:1","Points:2","U:0","U:1","U:2"
0.1218,0.0045044,0.15212,0.03791,0.00066099,-0.0057624
0.33081,0.013402,0.13423,-0.03194,0.0074005,0.006411
0.14716,0.013666,0.30347,0.033769,0.0046589,0.03473
0.1079,0.12677,0.097272,-0.017516,0.012748,-0.0098739
0.50877,0.018828,0.13207,-0.12738,0.010689,0.029665
0.31191,0.12461,0.078485,-0.03352,0.016584,0.012414
0.31486,0.028584,0.29052,-0.12755,0.023496,0.018305
0.14495,0.019418,0.4745,-0.093258,0.018678,0.020043
0.085414,0.12567,0.28635,-0.02794,0.015937,-0.036138
0.094711,0.34199,0.086751,-0.01901,0.075286,-0.0072058
0.69103,0.020068,0.13194,-0.18658,0.010026,0.020803
0.50181,0.12586,0.076992,-0.14162,0.019273,0.018712
0.50253,0.03906,0.28768,-0.19589,0.024879,0.013586
0.29133,0.3281,0.072622,-0.06327,0.088212,0.011584
0.28072,0.14587,0.26028,-0.099141,0.048654,0.020509
0.31174,0.039562,0.46972,-0.15733,0.021434,0.017078
0.14495,0.02072,0.65125,0.0040812,0.011691,0.031226
0.083155,0.12795,0.4689,-0.062826,0.023331,0.0071151
0.077708,0.32985,0.27059,-0.034769,0.094137,-0.012016
0.090375,0.53111,0.084086,-0.015081,0.12292,-0.0034111
0.87377,0.020318,0.13201,-0.24304,0.0090564,0.0092478
0.68827,0.12578,0.077182,-0.19899,0.019702,0.0076229
0.68865,0.042038,0.28733,-0.24676,0.022377,-0.0044393
0.49081,0.32233,0.072358,-0.15347,0.095767,0.0050605
0.48981,0.16023,0.25633,-0.16934,0.0482,0.017515
0.50027,0.053719,0.46782,-0.19962,0.025573,0.0085852
0.28296,0.52365,0.071224,-0.060752,0.12662,0.012044
0.26615,0.3311,0.24915,-0.072687,0.11355,0.023783
0.27505,0.1616,0.45887,-0.07501,0.054255,0.01846
0.3115,0.042668,0.6495,-0.13775,0.034016,0.02329
0.1451,0.020964,0.82911,-0.13062,0.022597,0.0086936
0.083109,0.1281,0.64946,-0.016592,0.015629,-0.044434
0.076461,0.32557,0.46137,-0.040603,0.13693,0.0080664
0.075658,0.5257,0.26555,-0.026263,0.13659,0.0032343
0.089149,0.71775,0.083568,-0.007113,0.14071,0.00036703
1.056,0.020359,0.13205,-0.29286,0.0079862,-0.0015761
0.87262,0.12563,0.077289,-0.25348,0.020226,-5.0447e-05
0.87284,0.042764,0.28737,-0.29592,0.019815,-0.016437
0.68309,0.31999,0.072812,-0.19975,0.093237,-0.0033811
0.68352,0.16488,0.25577,-0.22066,0.048108,0.0057802
0.68745,0.058495,0.46735,-0.24749,0.023521,-0.0042302
0.4845,0.51884,0.071586,-0.12359,0.12832,0.0048921
0.47884,0.33521,0.24545,-0.13377,0.10323,0.015671
0.4843,0.18596,0.45472,-0.15696,0.04936,0.015116
0.4998,0.058667,0.64848,-0.19089,0.032285,0.010992
0.28041,0.71484,0.07091,-0.035258,0.13887,0.015391
0.26028,0.5242,0.24533,-0.045267,0.1397,0.030553
0.26025,0.33712,0.45067,-0.043667,0.11482,0.025528
0.27387,0.16686,0.64556,-0.093524,0.063948,0.023822
0.31163,0.043421,0.82844,-0.16911,0.023271,0.0039334
0.14518,0.020999,1.0067,0.080957,0.0081329,0.00016578
0.083173,0.12798,0.82848,-0.094499,0.02828,0.0027062
0.076515,0.32375,0.64629,-0.033005,0.11951,-0.029481
0.075121,0.52269,0.45759,-0.021223,0.16712,0.011397
0.075031,0.71825,0.26441,-0.011115,0.15268,0.014662
0.089889,0.90199,0.084556,0.0023036,0.14012,0.0035314
1.2378,0.020364,0.13207,-0.33784,0.0064385,-0.011898
1.0555,0.12556,0.077308,-0.29917,0.023499,-0.0071398
1.0556,0.042934,0.28741,-0.34032,0.017151,-0.026192
0.87042,0.31913,0.07293,-0.24514,0.093894,-0.0066365
0.87047,0.16619,0.25566,-0.26775,0.046325,-0.0018471
0.87225,0.059845,0.46728,-0.2952,0.019843,-0.014313
0.67974,0.51642,0.072121,-0.16055,0.12549,0.0006004
0.67724,0.33714,0.24454,-0.17576,0.096178,0.0085393
0.6802,0.19562,0.45313,-0.19721,0.04981,0.004973
0.68706,0.064437,0.6481,-0.24638,0.027547,-0.00056137
0.4823,0.71182,0.071387,-0.083827,0.14217,0.0095944
0.4723,0.52354,0.2416,-0.091661,0.13076,0.023551
0.47084,0.35154,0.44436,-0.10713,0.099886,0.019635
0.48212,0.19645,0.64285,-0.14544,0.058709,0.014344
0.49979,0.060096,0.82794,-0.21329,0.029503,0.0019329
0.28219,0.90367,0.071431,0.005231,0.13225,0.017729
0.25866,0.71668,0.24445,-0.012225,0.15021,0.039069
0.25471,0.52619,0.44643,-0.011084,0.14306,0.035452
0.25825,0.34025,0.64113,-0.053248,0.12664,0.028251
0.27362,0.1684,0.82677,-0.084974,0.058873,0.011642
0.31173,0.0436,1.0065,-0.13966,0.042202,0.014618
0.14521,0.021001,1.1841,-0.16317,0.021617,-0.00028925
0.083189,0.12792,1.0065,-0.052238,0.033056,-0.040088
0.076533,0.32306,0.82728,-0.062915,0.16489,-0.010695
0.075288,0.52132,0.64428,-0.022305,0.16312,-0.015363
0.074795,0.71855,0.45656,-0.0028866,0.17583,0.015073
0.075231,0.91001,0.26629,0.0021747,0.14603,0.019565
0.094783,1.0829,0.088495,0.023624,0.1014,0.0049848
1.4194,0.020365,0.13208,-0.3785,0.0043134,-0.022009
1.2375,0.12554,0.077306,-0.33982,0.029871,-0.013038
1.2376,0.042978,0.28744,-0.38093,0.014126,-0.034684
1.0546,0.31884,0.072918,-0.28472,0.09686,-0.009162
1.0544,0.16656,0.25559,-0.30839,0.044785,-0.0083848
1.0553,0.060226,0.46728,-0.3388,0.015988,-0.022378
0.8689,0.51533,0.07221,-0.19962,0.12569,-0.0010711
0.8672,0.33785,0.24414,-0.21527,0.08959,0.003792
0.86858,0.19888,0.45254,-0.2402,0.045364,-0.0038368
0.87199,0.066214,0.64799,-0.29684,0.022819,-0.008698
0.67837,0.70964,0.07189,-0.11109,0.14007,0.0082731
0.67294,0.52323,0.24023,-0.11967,0.12228,0.020261
0.67174,0.35929,0.44119,-0.13651,0.090805,0.011581
0.67842,0.20927,0.64138,-0.18978,0.054635,0.0054636
0.68697,0.066312,0.82769,-0.26053,0.027062,-0.0037698
0.48363,0.90117,0.071587,-0.032237,0.14117,0.014619
0.47046,0.71409,0.24061,-0.042542,0.14443,0.031932
0.46304,0.53128,0.43849,-0.058885,0.12757,0.027023
0.46666,0.36096,0.63637,-0.093271,0.10409,0.020263
0.48136,0.20013,0.82519,-0.15932,0.053116,0.0085456
0.49982,0.060515,1.0062,-0.20425,0.036101,0.0080574
0.29143,1.0942,0.074388,0.056028,0.09437,0.015519
0.26075,0.90949,0.24608,0.026275,0.14139,0.041607
0.25377,0.71888,0.44535,0.022054,0.15282,0.044895
0.25235,0.52787,0.63828,-0.011718,0.1528,0.035013
0.25756,0.34157,0.82456,-0.044895,0.11618,0.017367
0.27353,0.16887,1.0057,-0.10991,0.077062,0.014505
0.31177,0.043647,1.184,-0.18842,0.020942,8.3884e-05
0.14523,0.021001,1.3614,0.081577,0.0098624,-0.0031607
0.083191,0.12791,1.184,-0.12089,0.029177,-0.0012244
0.076506,0.32286,1.0061,-0.054883,0.1239,-0.030534
0.075294,0.5208,0.82645,-0.035237,0.19687,-0.011223
0.075058,0.71862,0.64366,-0.0065355,0.17719,-0.0057304
0.075103,0.9141,0.45798,0.010263,0.16248,0.016365
0.077994,1.104,0.27341,0.023787,0.10891,0.015118
0.11418,1.2861,0.10586,0.017012,0.04856,-0.0025103
1.601,0.020365,0.13209,-0.41604,0.0024215,-0.031633
1.4193,0.12553,0.077301,-0.37657,0.037703,-0.018964
1.4193,0.042992,0.28745,-0.41808,0.010905,-0.042495
1.2372,0.31875,0.07289,-0.32041,0.10026,-0.011377
1.237,0.16668,0.25554,-0.34515,0.043337,-0.01399
1.2375,0.060345,0.46728,-0.37935,0.012031,-0.030175
1.054,0.51489,0.072159,-0.23322,0.12803,-0.0027057
1.0528,0.33812,0.24388,-0.24894,0.084781,0.0006092
1.0534,0.19999,0.45228,-0.27698,0.04117,-0.011748
1.0551,0.066768,0.64795,-0.34223,0.01883,-0.014853
0.86817,0.70832,0.07193,-0.14144,0.14093,0.0066331
0.86476,0.52305,0.23949,-0.1487,0.11517,0.016446
0.86369,0.3626,0.43977,-0.17185,0.08112,0.0036062
0.86736,0.21404,0.64066,-0.22983,0.048443,-0.0022152
0.87188,0.068323,0.82758,-0.3072,0.023395,-0.0090634
0.67862,0.89843,0.071843,-0.050217,0.13512,0.014576
0.67147,0.71216,0.23881,-0.057971,0.13535,0.030615
0.66581,0.53481,0.43371,-0.075339,0.11659,0.021291
0.66806,0.37329,0.63318,-0.1197,0.093127,0.013784
0.6776,0.21452,0.82415,-0.19406,0.053647,0.0032836
0.68695,0.06692,1.0061,-0.26168,0.028711,0.00047883
0.48931,1.0892,0.073347,0.046199,0.13245,0.020956
0.47336,0.90371,0.24176,0.011503,0.14483,0.038183
0.46156,0.71827,0.43671,-0.005083,0.14336,0.0357
0.45744,0.53751,0.63178,-0.042344,0.13008,0.028035
0.46492,0.3653,0.82153,-0.099611,0.10095,0.016147
0.48108,0.20145,1.0048,-0.15969,0.063082,0.0098101
0.49984,0.060652,1.1839,-0.23041,0.029006,0.0010642
0.31411,1.2953,0.096782,0.15181,0.060028,0.0022884
0.27131,1.1059,0.25357,0.069968,0.10365,0.032552
0.25719,0.91321,0.44732,0.056146,0.14539,0.044259
0.25165,0.72053,0.63742,0.028951,0.15908,0.040477
0.25142,0.52887,0.82298,-0.0071907,0.1468,0.023709
0.25726,0.34216,1.0047,-0.062648,0.13276,0.015482
0.27349,0.16904,1.1837,-0.10207,0.058231,0.0014
0.31178,0.043661,1.3614,-0.15702,0.042446,0.0016116
